Timestamp_MS,Angulo,PWM_Reportado,Modo,Escalon_Set,Timestamp_Python
5629290,30.25,36.0,MANUAL,36,1775686369.3745
5629300,30.22,36.0,MANUAL,36,1775686369.3847
5629310,30.34,36.0,MANUAL,36,1775686369.3947
5629320,30.35,36.0,MANUAL,36,1775686369.4048
5629330,30.23,36.0,MANUAL,36,1775686369.4156
5629340,30.19,36.0,MANUAL,36,1775686369.4246
5629350,30.28,36.0,MANUAL,36,1775686369.4346
5629360,30.36,36.0,MANUAL,36,1775686369.4445
5629370,30.23,36.0,MANUAL,36,1775686369.4546
5629380,30.20,36.0,MANUAL,36,1775686369.4646
5629390,30.23,36.0,MANUAL,36,1775686369.4745
5629400,30.35,36.0,MANUAL,36,1775686369.4845
5629410,30.28,36.0,MANUAL,36,1775686369.4945
5629420,30.23,36.0,MANUAL,36,1775686369.5045
5629430,30.21,36.0,MANUAL,36,1775686369.5146
5629440,30.35,36.0,MANUAL,36,1775686369.5248
5629450,30.33,36.0,MANUAL,36,1775686369.5347
5629460,30.24,36.0,MANUAL,36,1775686369.5446
5629470,30.21,36.0,MANUAL,36,1775686369.5546
5629480,30.32,36.0,MANUAL,36,1775686369.5646
5629490,30.36,36.0,MANUAL,36,1775686369.5747
5629500,30.23,36.0,MANUAL,36,1775686369.5846
5629510,30.19,36.0,MANUAL,36,1775686369.5946
5629520,30.19,36.0,MANUAL,36,1775686369.6046
5629530,30.33,36.0,MANUAL,36,1775686369.6146
5629540,30.28,36.0,MANUAL,36,1775686369.6246
5629550,30.21,36.0,MANUAL,36,1775686369.6346
5629560,30.18,36.0,MANUAL,36,1775686369.6445
5629570,30.31,36.0,MANUAL,36,1775686369.6546
5629580,30.33,36.0,MANUAL,36,1775686369.6646
5629590,30.24,36.0,MANUAL,36,1775686369.6745
5629600,30.21,36.0,MANUAL,36,1775686369.6845
5629610,30.29,36.0,MANUAL,36,1775686369.6951
5629620,30.36,36.0,MANUAL,36,1775686369.7045
5629630,30.24,36.0,MANUAL,36,1775686369.7146
5629640,30.21,36.0,MANUAL,36,1775686369.7245
5629650,30.23,36.0,MANUAL,36,1775686369.7345
5629660,30.35,36.0,MANUAL,36,1775686369.7445
5629670,30.26,36.0,MANUAL,36,1775686369.7545
5629680,30.21,36.0,MANUAL,36,1775686369.7645
5629690,30.19,36.0,MANUAL,36,1775686369.7747
5629700,30.32,36.0,MANUAL,36,1775686369.7846
5629710,30.30,36.0,MANUAL,36,1775686369.7946
5629720,30.23,36.0,MANUAL,36,1775686369.8045
5629730,30.20,36.0,MANUAL,36,1775686369.8146
5629740,30.29,36.0,MANUAL,36,1775686369.8246
5629750,30.34,36.0,MANUAL,36,1775686369.8345
5629760,30.23,36.0,MANUAL,36,1775686369.8446
5629770,30.21,36.0,MANUAL,36,1775686369.8546
5629780,30.24,36.0,MANUAL,36,1775686369.8643
5629790,30.33,36.0,MANUAL,36,1775686369.8743
5629800,30.23,36.0,MANUAL,36,1775686369.8845
5629810,30.20,36.0,MANUAL,36,1775686369.8946
5629820,30.18,36.0,MANUAL,36,1775686369.9045
5629830,30.30,36.0,MANUAL,36,1775686369.9146
5629840,30.25,36.0,MANUAL,36,1775686369.9246
5629850,30.20,36.0,MANUAL,36,1775686369.9347
